Longitude,Latitude,depth
109.133101,18.325448,4.86
109.134991,18.326074,4.34
109.127915,18.328418,5.37
109.135832,18.32596,4.33
109.133548,18.323363,5.27
109.133022,18.326987,4.49
109.127125,18.331316,5.16
109.132634,18.326076,4.6
109.123926,18.332579,5.34
109.127717,18.324608,5.46
109.135367,18.323719,5.49
109.126872,18.325339,5.07
109.135074,18.323918,5.33
109.123088,18.332649,5.49
109.134304,18.323728,5.44
109.14056,18.314968,5.03
109.12609,18.326429,5.44
109.139632,18.313884,5.51
109.132163,18.327894,4.54
109.140359,18.324265,5.35
109.138581,18.326252,4.29
109.12759,18.327864,5.46
109.138094,18.324274,5.29
109.131805,18.329457,4.74
109.135561,18.324174,5.26
109.132795,18.328074,4.5
109.128913,18.331493,4.84
109.122025,18.332658,5.45
109.128664,18.32887,5.11
109.132055,18.325812,4.66
109.128373,18.325627,5.47
109.135748,18.324718,4.72
109.134029,18.32768,4.46
109.129402,18.329455,5.12
109.129598,18.331588,4.74
109.131892,18.325535,5.02
109.140384,18.314867,5.25
109.129026,18.326691,5.03
109.131399,18.332736,4.3
109.130168,18.325716,5.11
109.135179,18.324896,4.29
109.131959,18.326423,4.37
109.13319,18.324352,5.47
109.131392,18.332824,4.27
109.132732,18.331688,4.41
109.130243,18.324795,5.37
109.128441,18.328766,5.35
109.128965,18.332556,4.55
109.132426,18.329767,4.49
109.125357,18.332023,5.38
109.138303,18.324554,4.52
109.127339,18.332656,4.59
109.122396,18.323551,5.5
109.130143,18.330569,4.55
109.135921,18.325437,4.41
109.129972,18.332675,4.29
109.131393,18.331677,4.48
109.129768,18.326084,5.05
109.129635,18.329428,5.02
109.133273,18.326167,4.46
109.129305,18.330639,4.86
109.132798,18.324632,5.25
109.130073,18.330299,4.74
109.129681,18.328858,5.02
109.135562,18.318481,5.16
109.126741,18.325241,5.19
109.134402,18.328767,4.3
109.13905,18.316489,4.61
109.132795,18.323528,5.37
109.145765,18.319723,4.61
109.125725,18.33205,5.18
109.13194,18.32779,4.53
109.12732,18.330051,5.3
109.13367,18.324696,4.94
109.135292,18.320094,4.49
109.132327,18.330422,4.55
109.122986,18.3322,5.4
109.132142,18.327584,4.57
109.13055,18.324994,4.98
109.122202,18.33276,5.33
109.121661,18.332587,5.47
109.135826,18.3249,4.28
109.136653,18.323814,5.44
109.131117,18.33223,4.42
109.129318,18.332758,4.45
109.12951,18.326418,5.07
109.13046,18.327238,4.88
109.136221,18.325724,4.33
109.127902,18.326872,5.22
109.130337,18.325905,5.05
109.131782,18.330867,4.34
109.131875,18.329153,4.63
109.134812,18.323722,5.35
109.131129,18.330951,4.65
109.129141,18.324713,5.34
109.129385,18.323981,5.3
109.13121,18.330516,4.63
109.129401,18.326057,5.15
109.128257,18.329899,5.09
109.12589,18.332857,5.01
109.129978,18.324069,5.46
109.131495,18.328154,4.63
109.132706,18.32917,4.58
109.133264,18.324004,5.47
109.128762,18.324818,5.04
109.125797,18.330599,5.39
109.129048,18.330399,4.91
109.138033,18.326167,4.35
109.129408,18.330514,4.85
109.143878,18.325894,4.97
109.129424,18.328044,5.12
109.134137,18.324069,5.26
109.135348,18.32054,4.69
109.131002,18.325116,4.77
109.128724,18.33267,4.61
109.128281,18.325621,5.46
109.131032,18.332135,4.41
109.13519,18.324191,5.11
109.14096,18.314601,5.12
109.140462,18.313328,5.42
109.129496,18.330565,4.85
109.128854,18.325398,5.45
109.12412,18.333035,4.98
109.138288,18.325877,4.36
109.132256,18.325606,4.82
109.124227,18.332292,5.38
109.12893,18.327875,5.34
109.140681,18.31405,5.38
109.130751,18.325362,5.08
109.126482,18.326723,5.52
109.12971,18.332479,4.5
109.135286,18.318461,5.09
109.139542,18.316128,4.79
109.124375,18.332745,5.28
109.140589,18.324282,5.4
109.140865,18.314064,5.52
109.133685,18.324521,5.23
109.133643,18.327872,4.5
109.134428,18.327312,4.42
109.127621,18.329764,5.18
109.13204,18.331107,4.43
109.133195,18.327706,4.39
109.13444,18.325459,4.67
109.128536,18.32533,5.38
109.130443,18.326884,4.78
109.124481,18.332576,5.2
109.12933,18.330332,4.97
109.128415,18.330794,5.03
